Date,Open,High,Low,Close,Adj Close,Volume
2022-08-24,170.000000,181.000000,170.000000,178.000000,178.000000,21169500
2022-08-25,178.000000,182.000000,177.000000,182.000000,182.000000,33849600
2022-08-26,182.000000,184.000000,179.000000,179.000000,179.000000,15817200
2022-08-29,179.000000,183.000000,178.000000,179.000000,179.000000,15886200
2022-08-30,180.000000,183.000000,178.000000,180.000000,180.000000,12053900
2022-08-31,181.000000,182.000000,178.000000,180.000000,180.000000,14540200
2022-09-01,180.000000,180.000000,172.000000,175.000000,175.000000,23256400
2022-09-02,176.000000,176.000000,172.000000,175.000000,175.000000,13057000
2022-09-05,175.000000,175.000000,171.000000,175.000000,175.000000,15089500
2022-09-06,165.000000,185.000000,165.000000,181.000000,181.000000,45023500
2022-09-07,181.000000,182.000000,178.000000,181.000000,181.000000,12029500
2022-09-08,182.000000,192.000000,179.000000,186.000000,186.000000,62358200
2022-09-09,187.000000,189.000000,185.000000,188.000000,188.000000,18655000
2022-09-12,190.000000,195.000000,188.000000,195.000000,195.000000,38115200
2022-09-13,195.000000,197.000000,190.000000,190.000000,190.000000,21009700
2022-09-14,191.000000,192.000000,185.000000,187.000000,187.000000,13712000
2022-09-15,187.000000,194.000000,187.000000,194.000000,194.000000,26699700
2022-09-16,195.000000,204.000000,192.000000,194.000000,194.000000,48287400
2022-09-19,194.000000,194.000000,181.000000,184.000000,184.000000,22357100
2022-09-20,184.000000,188.000000,179.000000,184.000000,184.000000,19879600
2022-09-21,184.000000,184.000000,181.000000,181.000000,181.000000,7446000
2022-09-22,182.000000,185.000000,180.000000,183.000000,183.000000,9040800
2022-09-23,185.000000,191.000000,179.000000,183.000000,183.000000,38419000
2022-09-26,184.000000,184.000000,177.000000,179.000000,179.000000,21259900
2022-09-27,179.000000,182.000000,179.000000,180.000000,180.000000,11365600
2022-09-28,180.000000,180.000000,175.000000,175.000000,175.000000,14736200
2022-09-29,173.000000,177.000000,170.000000,171.000000,171.000000,15538700
2022-09-30,171.000000,175.000000,165.000000,174.000000,174.000000,13478100
2022-10-03,174.000000,175.000000,171.000000,172.000000,172.000000,3591900
2022-10-04,173.000000,182.000000,172.000000,182.000000,182.000000,9698200
2022-10-05,182.000000,183.000000,173.000000,174.000000,174.000000,28838800
2022-10-06,175.000000,176.000000,173.000000,176.000000,176.000000,5158900
2022-10-07,176.000000,177.000000,174.000000,174.000000,174.000000,5453500
2022-10-10,174.000000,175.000000,171.000000,173.000000,173.000000,5006500
2022-10-11,173.000000,174.000000,171.000000,172.000000,172.000000,4027500
2022-10-12,172.000000,173.000000,166.000000,169.000000,169.000000,10493200
2022-10-13,168.000000,171.000000,167.000000,169.000000,169.000000,4029400
2022-10-14,170.000000,172.000000,169.000000,170.000000,170.000000,4433800
2022-10-17,177.000000,177.000000,165.000000,168.000000,168.000000,10173300
2022-10-18,167.000000,167.000000,165.000000,166.000000,166.000000,7484600
2022-10-19,166.000000,171.000000,166.000000,169.000000,169.000000,5591500
2022-10-20,171.000000,180.000000,170.000000,179.000000,179.000000,22050700
2022-10-21,180.000000,182.000000,177.000000,180.000000,180.000000,20121200
2022-10-24,181.000000,183.000000,177.000000,182.000000,182.000000,16008000
2022-10-25,183.000000,188.000000,180.000000,187.000000,187.000000,23363600
2022-10-26,188.000000,194.000000,182.000000,182.000000,182.000000,28424900
2022-10-27,181.000000,183.000000,178.000000,181.000000,181.000000,10524600
2022-10-28,183.000000,189.000000,181.000000,188.000000,188.000000,28829700
2022-10-31,188.000000,190.000000,185.000000,185.000000,185.000000,15576700
2022-11-01,185.000000,192.000000,183.000000,186.000000,186.000000,21620300
2022-11-02,187.000000,190.000000,180.000000,183.000000,183.000000,9736900
2022-11-03,180.000000,182.000000,180.000000,181.000000,181.000000,3623800
2022-11-04,181.000000,182.000000,172.000000,176.000000,176.000000,13890700
2022-11-07,177.000000,178.000000,170.000000,172.000000,172.000000,14869700
2022-11-08,171.000000,175.000000,171.000000,175.000000,175.000000,4573800
2022-11-09,175.000000,177.000000,171.000000,175.000000,175.000000,7914800
2022-11-10,175.000000,176.000000,172.000000,175.000000,175.000000,4983600
2022-11-11,176.000000,177.000000,172.000000,177.000000,177.000000,5194800
2022-11-14,178.000000,178.000000,176.000000,177.000000,177.000000,4757800
2022-11-15,177.000000,180.000000,175.000000,177.000000,177.000000,10834600
2022-11-16,177.000000,177.000000,174.000000,175.000000,175.000000,4021600
2022-11-17,175.000000,176.000000,173.000000,176.000000,176.000000,2847800
2022-11-18,176.000000,176.000000,174.000000,176.000000,176.000000,5181000
2022-11-21,176.000000,177.000000,174.000000,176.000000,176.000000,3411800
2022-11-22,176.000000,177.000000,173.000000,177.000000,177.000000,5026000
2022-11-23,177.000000,179.000000,175.000000,177.000000,177.000000,8556200
2022-11-24,177.000000,185.000000,176.000000,183.000000,183.000000,29872800
2022-11-25,183.000000,185.000000,180.000000,182.000000,182.000000,7693800
2022-11-28,182.000000,183.000000,177.000000,181.000000,181.000000,9798500
2022-11-29,180.000000,182.000000,177.000000,181.000000,181.000000,6125800
2022-11-30,181.000000,182.000000,177.000000,178.000000,178.000000,14476700
2022-12-01,188.000000,190.000000,174.000000,177.000000,177.000000,32073300
