Date;Close_GJTL;Close_TLKM;Close_UNTR;Close_DILD;Close_UNVR
13/07/2020;406;3090;18500;182;8025
14/07/2020;400;3080;18325;181;8075
15/07/2020;410;3090;18250;181;8050
16/07/2020;404;3100;18325;180;8100
17/07/2020;406;3060;18450;181;8125
20/07/2020;402;3060;18400;178;8125
21/07/2020;404;3060;19325;181;8000
22/07/2020;400;3070;20000;180;8000
23/07/2020;418;3070;20075;179;8050
24/07/2020;515;3020;19450;179;8050
27/07/2020;505;3040;21000;180;8075
28/07/2020;565;3020;21600;180;8150
29/07/2020;580;3000;21500;178;8250
30/07/2020;540;3050;21350;179;8400
03/08/2020;505;2920;20450;176;8250
04/08/2020;515;2950;20450;177;8225
05/08/2020;520;3020;21525;178;8250
06/08/2020;570;3020;23775;177;8175
07/08/2020;560;2980;24700;179;8125
10/08/2020;550;2970;24775;178;8100
11/08/2020;555;2930;24275;180;8050
12/08/2020;550;2950;23525;182;8050
13/08/2020;555;3010;23300;181;8175
14/08/2020;550;3030;23075;179;8200
18/08/2020;535;3050;23600;178;8225
19/08/2020;540;3000;23475;177;8200
24/08/2020;540;3000;23000;175;8175
25/08/2020;600;2980;23550;179;8200
26/08/2020;580;3020;23250;180;8200
27/08/2020;555;2990;23525;183;8250
28/08/2020;560;2960;23425;183;8250
31/08/2020;540;2860;23000;178;8225
01/09/2020;555;2900;23500;179;8225
02/09/2020;560;2950;23350;182;8150
03/09/2020;540;2900;23400;181;8175
04/09/2020;520;2860;23100;179;8400
07/09/2020;530;2900;23150;181;8375
08/09/2020;530;2860;23150;184;8375
09/09/2020;510;2800;22650;180;8250
10/09/2020;476;2700;21400;168;7975
11/09/2020;476;2810;22925;166;8300
14/09/2020;492;2890;23000;177;8200
15/09/2020;488;2830;23875;170;8100
16/09/2020;480;2790;24025;173;8000
17/09/2020;468;2820;23400;170;8075
18/09/2020;472;2890;23800;175;8025
21/09/2020;452;2810;23600;171;8000
22/09/2020;440;2780;22825;165;7950
23/09/2020;424;2800;23150;160;7925
24/09/2020;408;2730;22875;155;7800
25/09/2020;416;2690;23200;162;7925
28/09/2020;418;2660;22575;158;7900
29/09/2020;414;2630;22650;151;7975
30/09/2020;440;2560;22800;147;8100
01/10/2020;436;2750;22775;148;8025
02/10/2020;418;2680;22675;148;8000
05/10/2020;436;2650;22325;147;8075
06/10/2020;460;2650;22625;150;7975
07/10/2020;462;2660;22275;150;8000
08/10/2020;454;2700;22600;155;8025
09/10/2020;456;2730;22400;154;8050
12/10/2020;460;2730;22500;156;7950
13/10/2020;456;2730;22500;152;7975
14/10/2020;458;2810;22475;152;7925
15/10/2020;472;2780;21700;154;7925
16/10/2020;468;2750;21875;154;8000
19/10/2020;462;2710;22050;155;7900
20/10/2020;456;2670;22275;155;8000
21/10/2020;456;2680;22275;155;7950
22/10/2020;456;2700;22150;158;7850
23/10/2020;452;2630;21925;156;7925
26/10/2020;462;2650;21725;159;7875
27/10/2020;456;2620;21125;159;7825
02/11/2020;452;2560;20450;158;7625
03/11/2020;456;2580;20900;158;7825
04/11/2020;482;2580;20600;156;7800
05/11/2020;486;2770;20875;157;7900
06/11/2020;478;2830;20975;155;8075
09/11/2020;488;2880;20875;155;7950
10/11/2020;500;2860;20650;160;7800
11/11/2020;496;3080;21450;158;7750
12/11/2020;494;3040;21100;155;7800
13/11/2020;525;2990;21125;155;7750
16/11/2020;510;3070;21250;162;7725
17/11/2020;510;3220;21050;163;7775
18/11/2020;515;3180;21000;165;7800
19/11/2020;540;3170;21500;189;7775
20/11/2020;535;3220;21300;202;7725
23/11/2020;540;3320;22100;214;7825
24/11/2020;555;3350;22425;218;7850
25/11/2020;535;3280;24225;210;7725
26/11/2020;540;3470;24500;226;7750
27/11/2020;540;3460;24725;224;7750
30/11/2020;515;3230;23000;212;7725
01/12/2020;520;3240;24175;214;7700
02/12/2020;535;3330;26000;220;7650
03/12/2020;555;3300;26100;228;7550
04/12/2020;565;3250;26500;220;7600
07/12/2020;585;3330;26975;226;7675
08/12/2020;580;3300;26775;222;7625
10/12/2020;565;3260;26025;228;7550
11/12/2020;575;3280;26150;224;7475
14/12/2020;610;3320;27400;224;7500
15/12/2020;605;3450;26575;222;7475
16/12/2020;610;3610;27175;220;7500
17/12/2020;610;3540;27125;224;7425
18/12/2020;620;3510;26625;228;7600
21/12/2020;680;3520;28275;250;7625
22/12/2020;640;3360;26450;246;7475
23/12/2020;655;3320;26075;246;7425
28/12/2020;650;3430;26925;244;7450
29/12/2020;655;3420;26500;232;7350
30/12/2020;655;3310;26600;220;7350
04/01/2021;680;3490;26650;222;7475
05/01/2021;685;3470;26300;226;7375
06/01/2021;670;3370;25800;222;7200
07/01/2021;660;3390;26800;246;7200
08/01/2021;825;3570;27275;236;7175
11/01/2021;940;3600;26550;280;7200
12/01/2021;890;3510;26225;270;7100
13/01/2021;895;3480;26200;260;7025
14/01/2021;860;3500;26300;256;7000
15/01/2021;850;3480;26200;248;6950
18/01/2021;865;3450;26700;238;7500
19/01/2021;815;3410;25925;228;7575
20/01/2021;855;3470;25975;234;7400
21/01/2021;855;3480;25900;238;7325
22/01/2021;815;3390;25175;228;7275
25/01/2021;830;3370;24250;218;7250
26/01/2021;790;3260;23950;208;7250
27/01/2021;760;3380;23400;204;7125
28/01/2021;710;3240;23875;195;7075
29/01/2021;700;3110;22850;204;6925
01/02/2021;765;3230;23850;210;7025
02/02/2021;775;3270;22575;208;7000
03/02/2021;780;3240;22450;212;7175
04/02/2021;775;3290;22350;204;7300
05/02/2021;865;3290;23100;208;7225
08/02/2021;870;3280;24325;216;7100
09/02/2021;845;3200;23525;212;7100
10/02/2021;840;3190;23475;214;7150
11/02/2021;840;3190;23500;212;7175
15/02/2021;910;3220;23250;222;7050
16/02/2021;885;3210;23100;226;7025
17/02/2021;845;3150;22850;222;7100
18/02/2021;855;3180;22975;220;6975
19/02/2021;840;3210;23075;220;6950
22/02/2021;845;3170;23250;218;6875
23/02/2021;835;3470;23125;212;6850
24/02/2021;860;3480;22550;210;6850
25/02/2021;880;3490;23650;208;6775
26/02/2021;855;3490;22550;206;7000
01/03/2021;845;3490;22950;214;6825
02/03/2021;840;3460;22900;210;6825
03/03/2021;815;3440;22775;208;6875
04/03/2021;815;3360;22350;204;6725
05/03/2021;810;3320;21800;202;6725
08/03/2021;825;3340;23325;204;6650
09/03/2021;875;3290;22525;202;6550
10/03/2021;860;3400;21200;204;6575
12/03/2021;850;3450;21225;210;6700
15/03/2021;880;3380;21100;210;6575
16/03/2021;955;3360;21175;208;6550
17/03/2021;910;3390;21050;206;6475
18/03/2021;920;3450;21700;208;6600
19/03/2021;915;3440;21875;206;6750
22/03/2021;915;3380;21625;210;6700
23/03/2021;885;3360;21450;206;6750
24/03/2021;860;3370;21100;202;6575
25/03/2021;890;3410;21350;200;6650
26/03/2021;890;3490;21900;200;6600
29/03/2021;895;3410;21800;202;6725
30/03/2021;895;3380;21500;196;6550
31/03/2021;880;3420;22125;192;6575
01/04/2021;880;3390;22175;189;6625
05/04/2021;895;3380;22200;187;6475
06/04/2021;905;3370;22325;190;6475
07/04/2021;930;3400;22325;192;6525
08/04/2021;915;3390;22575;196;6600
09/04/2021;910;3360;22725;194;6475
12/04/2021;865;3310;21425;191;6325
13/04/2021;875;3330;22525;184;6225
14/04/2021;870;3340;22250;187;6300
15/04/2021;865;3360;21700;187;6400
16/04/2021;895;3360;22075;186;6325
19/04/2021;910;3340;22200;187;6300
20/04/2021;900;3320;22000;188;6225
21/04/2021;905;3280;22475;187;6100
22/04/2021;900;3330;21550;185;6125
23/04/2021;910;3310;21600;182;6075
26/04/2021;930;3250;21550;179;6125
27/04/2021;890;3160;21600;176;6025
28/04/2021;895;3140;21425;176;6075
29/04/2021;905;3200;21375;179;6050
30/04/2021;905;3200;21175;183;6000
03/05/2021;890;3170;20950;190;5900
04/05/2021;885;3210;21575;190;5750
05/05/2021;885;3200;22175;187;5775
06/05/2021;905;3190;21800;187;5550
07/05/2021;895;3190;21750;184;5525
10/05/2021;895;3170;21750;185;5700
11/05/2021;895;3180;21450;185;5625
17/05/2021;860;3190;21425;180;5600
18/05/2021;865;3180;21900;179;5575
19/05/2021;860;3160;21875;189;5450
20/05/2021;865;3310;22025;184;5625
21/05/2021;860;3270;21675;185;5575
24/05/2021;855;3260;21200;189;5725
25/05/2021;860;3300;21500;188;5675
27/05/2021;870;3380;21650;190;5825
28/05/2021;875;3270;21825;191;5775
31/05/2021;885;3440;22550;193;5850
02/06/2021;890;3450;23775;194;5850
03/06/2021;890;3490;23650;196;5775
04/06/2021;885;3500;23525;194;5650
07/06/2021;885;3550;22975;193;5625
08/06/2021;860;3500;23425;193;5475
09/06/2021;865;3390;23375;194;5300
10/06/2021;875;3480;22600;196;5300
11/06/2021;875;3470;22975;199;5350
14/06/2021;870;3410;22500;192;5250
15/06/2021;865;3440;22050;193;5175
16/06/2021;860;3410;22650;192;5200
17/06/2021;855;3350;22000;193;5075
18/06/2021;825;3350;22775;185;4900
21/06/2021;780;3300;21600;183;5100
22/06/2021;800;3300;21625;188;5050
23/06/2021;800;3370;21100;185;4990
24/06/2021;795;3250;21300;188;4960
25/06/2021;780;3250;21350;184;5000
28/06/2021;760;3170;20400;176;5025
29/06/2021;760;3160;20250;178;5000
30/06/2021;760;3150;20250;179;4950
01/07/2021;760;3110;20325;178;5225
02/07/2021;785;3070;20400;179;5150
05/07/2021;775;3040;20225;176;4950
06/07/2021;765;3010;20750;178;5000
07/07/2021;760;3030;20375;173;4930
08/07/2021;755;3010;20050;174;4860
09/07/2021;755;3160;19500;174;4890
12/07/2021;790;3130;19475;172;5025
13/07/2021;760;3070;19025;172;5100
14/07/2021;755;3060;18600;169;5100
15/07/2021;765;3130;19225;170;5150
16/07/2021;775;3170;19300;170;5150
